station_id,station_name,line_no.,order
11,Mansarovar,1,1
21,New Aatish Market,1,2
31,Vivek Vihaar,1,3
41,Shyam Nagar,1,4
51,Ram Nagar,1,5
61,Civil Lines,1,6
71,Railway Station,1,7
81,Sindhi Camp,1,8
91,Chand Pole,1,9
110,Choti Chaupar,1,10
111,Badi Chaupar,1,11
12,Sanganer,2,1
22,Durgapura,2,2
32,Gopal Pura,2,3
42,Tonk Phatak,2,4
52,SMS Stadium,2,5
62,SMS Hospital,2,6
72,Ajmeri Gate,2,7
82,Sindhi Camp,2,8
92,Subhash Nagar,2,9
102,Pani Pech,2,10
112,Ambabadi,2,11
13,Jawahar Nagar,3,1
23,SMS Hospital,3,2
33,Ram Nagar,3,3
43,Hasanpura,3,4
53,Khatpura,3,5
63,Vaishali Nagar,3,6
73,Chitrakoot,3,7
83,Tagore Nagar,3,8
